"Sorting Lab","Year Month of Tow ","Tow Collection Day",Ship,"Station Line","Station Number","Latitude (º)","Longitude (º)","Max Tow Depth (m)","Volume Water Filtered (ml/1000m3)","Aliquot %","Aliquot Adjustment Value","Total Phyllosoma","Stage 1","Stage 2","Stage 3","Stage 4","Stage 5","Stage 6","Stage 7","Stage 8","Stage 9","Stage 10","Stage 11","Study Flag"
MJ,5108,1951-08-03,31CR,85,40,33.95064,-119.17158,138,437.6,100,"No Adjustment",3,3,0,0,0,0,0,0,0,0,0,0,3
MJ,5108,1951-08-04,31CR,90,45,32.91795,-118.93551,137,520.1,100,"No Adjustment",4,3,1,0,0,0,0,0,0,0,0,0,1
MJ,5108,1951-08-07,31CR,93.3,30,32.84637,-117.53122,135,532.6,100,"No Adjustment",4,4,0,0,0,0,0,0,0,0,0,0,1
MJ,5108,1951-07-31,31CR,80,51,34.45,-120.52391,69,396.9,100,"No Adjustment",14,14,0,0,0,0,0,0,0,0,0,0,1
MJ,5108,1951-08-03,31BD,77,50,35.00295,-120.81175,67,480.1,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5108,1951-08-03,31BD,77,55,34.83628,-121.16221,131,554.6,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5108,1951-07-31,31CR,80,55,34.31667,-120.80245,136,476,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5108,1951-08-01,31CR,80,60,34.15,-121.15,140,469.8,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5108,1951-08-02,31CR,85,38,34.01731,-119.03297,134,514.1,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5108,1951-08-03,31CR,90,30,33.41795,-117.90582,126,562.9,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5108,1951-08-04,31CR,90,53,32.65128,-119.48228,128,635.6,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5108,1951-08-05,31CR,90,60,32.41795,-119.95935,151,518,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5207,1952-07-08,31CR,77,60,34.66962,-121.51196,39,407,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,4
MJ,5208,1952-08-09,31BD,93,27,32.99833,-117.35977,136,533,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5208,1952-08-09,31BD,90,28,33.48462,-117.76808,68,282,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5208,1952-08-09,31BD,90,30,33.41795,-117.90582,142,502,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5208,1952-08-09,31BD,93,30,32.89833,-117.56519,129,547,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5208,1952-08-11,31BD,85,38,34.01731,-119.03297,58,206,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5208,1952-08-11,31BD,85,40,33.95064,-119.17158,133,506,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5208,1952-08-15,31BD,77,50,35.00295,-120.81175,69,266,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5208,1952-08-11,31BD,85,50,33.61731,-119.86298,143,462,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5208,1952-08-08,31BD,93,50,32.23167,-118.92872,142,518,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5208,1952-08-12,31BD,80,51,34.45,-120.52391,58,198,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5208,1952-08-10,31BD,90,53,32.65128,-119.48228,137,473,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5208,1952-08-15,31BD,77,55,34.83628,-121.16221,142,458,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5208,1952-08-12,31BD,80,55,34.31667,-120.80245,139,483,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5208,1952-08-12,31BD,80,60,34.15,-121.15,141,430,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5208,1952-08-11,31BD,85,60,33.28398,-120.55169,142,498,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5208,1952-08-10,31BD,90,60,32.41795,-119.95935,142,499,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5208,1952-08-10,31BD,90,37,33.18462,-118.38708,138,505,100,"No Adjustment",1,1,0,0,0,0,0,0,0,0,0,0,3
MJ,5208,1952-08-09,31BD,93.3,40,32.51304,-118.21387,138,531,100,"No Adjustment",1,0,0,1,0,0,0,0,0,0,0,0,3
MJ,5208,1952-08-10,31BD,90,45,32.91795,-118.93551,142,492,25,4,4,0,4,0,0,0,0,0,0,0,0,0,3
MJ,5307,1953-07-26,31HO,93,27,32.99833,-117.35977,43,204,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5307,1953-07-20,31CR,90,28,33.48462,-117.76808,43,204,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5307,1953-07-19,31CR,90,30,33.41795,-117.90582,132,448,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5307,1953-07-26,31HO,93,30,32.89833,-117.56519,136,455,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5307,1953-07-25,31HO,93,35,32.73167,-117.90704,124,492,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5307,1953-07-19,31CR,90,37,33.18462,-118.38708,131,476,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5307,1953-07-17,31CR,85,39,33.98398,-119.10229,136,437,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5307,1953-07-16,31CR,83,40,34.29705,-119.40453,14,78,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5307,1953-07-17,31CR,85,40,33.95064,-119.17158,123,465,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5307,1953-07-18,31CR,87,40,33.60423,-118.93949,139,404,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5307,1953-07-25,31HO,93,40,32.565,-118.24824,119,481,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5307,1953-07-16,31CR,83,43,34.19705,-119.61309,143,422,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5307,1953-07-17,31CR,85,45,33.78398,-119.51762,133,437,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5307,1953-07-18,31CR,87,45,33.43756,-119.28413,115,458,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5307,1953-07-19,31CR,90,45,32.91795,-118.93551,122,437,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5307,1953-07-25,31HO,93,45,32.39833,-118.5888,132,429,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5307,1953-07-16,31CR,83,48,34.03039,-119.96015,81,394,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5307,1953-07-14,31CR,77,50,35.00295,-120.81175,137,398,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5307,1953-07-17,31CR,85,50,33.61731,-119.86298,140,427,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5307,1953-07-18,31CR,87,50,33.2709,-119.6281,52,238,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5307,1953-07-19,31CR,90,50,32.75128,-119.27743,135,412,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5307,1953-07-25,31HO,93,50,32.23167,-118.92872,155,421,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5307,1953-07-16,31CR,80,51,34.45,-120.52391,66,238,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5307,1953-07-16,31CR,83,51,33.93039,-120.16805,83,390,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5307,1953-07-14,31CR,77,55,34.83628,-121.16221,136,414,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5307,1953-07-16,31CR,80,55,34.31667,-120.80245,121,477,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5307,1953-07-17,31CR,83,55,33.79705,-120.44487,134,448,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5307,1953-07-17,31CR,85,55,33.45064,-120.20767,128,406,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5307,1953-07-18,31CR,87,55,33.10423,-119.9714,138,469,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5307,1953-07-19,31CR,90,55,32.58462,-119.61871,143,328,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5307,1953-07-14,31CR,77,60,34.66962,-121.51196,170,348,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5307,1953-07-16,31CR,80,60,34.15,-121.15,142,242,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5307,1953-07-17,31CR,83,60,33.63039,-120.79028,139,409,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5307,1953-07-17,31CR,85,60,33.28398,-120.55169,139,321,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5307,1953-07-18,31CR,87,60,32.93756,-120.31405,135,441,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5307,1953-07-19,31CR,90,60,32.41795,-119.95935,140,408,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5308,1953-08-19,31CR,93,27,32.99833,-117.35977,131,507,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5308,1953-08-19,31CR,90,30,33.41795,-117.90582,126,495,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5308,1953-08-20,31CR,93,30,32.89833,-117.56519,147,442,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5308,1953-08-28,31HO,87,35,33.7709,-118.59418,121,555,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5308,1953-08-20,31CR,93,35,32.73167,-117.90704,135,492,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5308,1953-08-19,31CR,90,37,33.18462,-118.38708,135,477,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5308,1953-08-28,31HO,85,39,33.98398,-119.10229,125,529,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5308,1953-08-28,31HO,83,40,34.29705,-119.40453,6,127,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5308,1953-08-29,31HO,85,40,33.95064,-119.17158,125,491,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5308,1953-08-28,31HO,87,40,33.60423,-118.93949,164,440,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5308,1953-08-20,31CR,93,40,32.565,-118.24824,136,497,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5308,1953-08-28,31HO,83,43,34.19705,-119.61309,122,548,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5308,1953-08-29,31HO,85,45,33.78398,-119.51762,132,512,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5308,1953-08-28,31HO,87,45,33.43756,-119.28413,147,531,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5308,1953-08-19,31CR,90,45,32.91795,-118.93551,133,438,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5308,1953-08-28,31HO,83,48,34.03039,-119.96015,64,268,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5308,1953-08-25,31HO,77,50,35.00295,-120.81175,155,409,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5308,1953-08-29,31HO,85,50,33.61731,-119.86298,122,551,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5308,1953-08-28,31HO,87,50,33.2709,-119.6281,24,121,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5308,1953-08-19,31CR,90,50,32.75128,-119.27743,87,352,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5308,1953-08-20,31CR,93,50,32.23167,-118.92872,135,470,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5308,1953-08-25,31HO,80,51,34.45,-120.52391,67,393,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5308,1953-08-27,31HO,83,51,33.93039,-120.16805,72,262,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5308,1953-08-25,31HO,77,55,34.83628,-121.16221,138,434,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5308,1953-08-25,31HO,80,55,34.31667,-120.80245,136,430,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5308,1953-08-27,31HO,83,55,33.79705,-120.44487,148,465,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5308,1953-08-29,31HO,85,55,33.45064,-120.20767,107,580,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5308,1953-08-29,31HO,87,55,33.10423,-119.9714,97,645,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5308,1953-08-19,31CR,90,55,32.58462,-119.61871,143,449,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5308,1953-08-19,31CR,90,58,32.48462,-119.82317,155,349,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5308,1953-08-26,31HO,80,60,34.15,-121.15,150,404,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5308,1953-08-27,31HO,83,60,33.63039,-120.79028,163,444,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5308,1953-08-29,31HO,85,60,33.28398,-120.55169,126,489,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5308,1953-08-29,31HO,87,60,32.93756,-120.31405,105,576,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5308,1953-08-18,31CR,90,60,32.41795,-119.95935,132,458,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5407,1954-07-15,31CR,83,55,33.79705,-120.44487,127,553,100,"No Adjustment",4,4,0,0,0,0,0,0,0,0,0,0,2
MJ,5407,1954-07-16,31CR,85,40,33.95064,-119.17158,128,501,100,"No Adjustment",1,1,0,0,0,0,0,0,0,0,0,0,1
MJ,5407,1954-07-16,31CR,85,50,33.61731,-119.86298,134,474,100,"No Adjustment",1,0,1,0,0,0,0,0,0,0,0,0,1
MJ,5407,1954-07-17,31CR,86.7,35,33.82286,-118.62873,118,523,100,"No Adjustment",2,2,0,0,0,0,0,0,0,0,0,0,1
MJ,5407,1954-07-18,31CR,90,28,33.48462,-117.76808,115,450,100,"No Adjustment",1,1,0,0,0,0,0,0,0,0,0,0,1
MJ,5407,1954-07-21,31CR,93.3,27,32.94637,-117.32592,118,424,100,"No Adjustment",24,24,0,0,0,0,0,0,0,0,0,0,1
MJ,5407,1954-07-21,31CR,93.3,30,32.84637,-117.53122,130,547,100,"No Adjustment",32,32,0,0,0,0,0,0,0,0,0,0,3
MJ,5407,1954-07-20,31CR,93.3,35,32.67971,-117.87286,132,396,100,"No Adjustment",18,17,1,0,0,0,0,0,0,0,0,0,1
MJ,5407,1954-07-18,31CR,90,30,33.41795,-117.90582,138,440,100,"No Adjustment",6,6,0,0,0,0,0,0,0,0,0,0,1
MJ,5407,1954-07-18,31CR,90,37,33.18462,-118.38708,146,351,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5407,1954-07-16,31CR,83,40,34.29705,-119.40453,13,61,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5407,1954-07-17,31CR,87,40,33.60423,-118.93949,116,534,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5407,1954-07-20,31CR,93,40,32.565,-118.24824,159,352,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5407,1954-07-16,31CR,83,43,34.19705,-119.61309,135,464,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5407,1954-07-16,31CR,85,45,33.78398,-119.51762,128,509,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5407,1954-07-17,31CR,87,45,33.43756,-119.28413,139,345,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5407,1954-07-19,31CR,90,45,32.91795,-118.93551,142,443,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5407,1954-07-20,31CR,93,45,32.39833,-118.5888,124,340,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5407,1954-07-16,31CR,82,47,34.23692,-120.0086,128,550,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5407,1954-07-16,31CR,83,48,34.03039,-119.96015,68,282,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5407,1954-07-14,31CR,77,50,35.00295,-120.81175,123,398,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5407,1954-07-17,31CR,87,50,33.2709,-119.6281,48,193,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5407,1954-07-20,31CR,93,50,32.23167,-118.92872,151,354,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5407,1954-07-14,31CR,80,51,34.45,-120.52391,33,161,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5407,1954-07-16,31CR,83,51,33.93039,-120.16805,86,454,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5407,1954-07-13,31CR,77,55,34.83628,-121.16221,144,490,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5407,1954-07-14,31CR,80,55,34.31667,-120.80245,124,520,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5407,1954-07-17,31CR,85,55,33.45064,-120.20767,122,477,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5407,1954-07-17,31CR,87,55,33.10423,-119.9714,148,413,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5407,1954-07-19,31CR,90,55,32.58462,-119.61871,143,413,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5407,1954-07-14,31CR,80,60,34.15,-121.15,118,519,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5407,1954-07-15,31CR,83,60,33.63039,-120.79028,147,478,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5407,1954-07-17,31CR,85,60,33.28398,-120.55169,147,412,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5407,1954-07-17,31CR,87,60,32.93756,-120.31405,145,455,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5407,1954-07-19,31CR,90,60,32.41795,-119.95935,134,411,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5408,1954-09-07,31SB,86.7,50,33.32286,-119.66327,53,224,100,"No Adjustment",1,1,0,0,0,0,0,0,0,0,0,0,3
MJ,5408,1954-09-07,31SB,86.7,55,33.15619,-120.00678,139,536,100,"No Adjustment",1,0,0,1,0,0,0,0,0,0,0,0,1
MJ,5408,1954-09-07,31SB,86.7,60,32.98953,-120.34964,133,537,100,"No Adjustment",1,0,0,0,1,0,0,0,0,0,0,0,1
MJ,5408,1954-09-08,31SB,90,30,33.41795,-117.90582,123,551,100,"No Adjustment",1,0,0,0,1,0,0,0,0,0,0,0,1
MJ,5408,1954-09-08,31SB,90,45,32.91795,-118.93551,134,497,100,"No Adjustment",1,1,0,0,0,0,0,0,0,0,0,0,1
MJ,5408,1954-09-07,31SB,90,60,32.41795,-119.95935,140,516,100,"No Adjustment",1,0,0,1,0,0,0,0,0,0,0,0,1
MJ,5408,1954-09-09,31SB,93.3,50,32.17971,-118.89396,134,454,100,"No Adjustment",3,0,0,1,0,2,0,0,0,0,0,0,1
MJ,5408,1954-09-06,31SB,85,50,33.61731,-119.86298,129,542,100,"No Adjustment",3,0,1,2,0,0,0,0,0,0,0,0,1
MJ,5408,1954-09-08,31SB,90,55,32.58462,-119.61871,143,478,100,"No Adjustment",3,0,1,2,0,0,0,0,0,0,0,0,3
MJ,5408,1954-09-08,31SB,93.3,45,32.34637,-118.55423,117,537,100,"No Adjustment",5,0,1,1,3,0,0,0,0,0,0,0,1
MJ,5408,1954-09-03,31SB,77,50,35.00295,-120.81175,148,477,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5408,1954-09-03,31SB,77,55,34.83628,-121.16221,143,478,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5408,1954-09-05,31SB,80,51,34.45,-120.52391,117,436,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5408,1954-09-04,31SB,80,55,34.31667,-120.80245,147,523,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5408,1954-09-04,31SB,80,60,34.15,-121.15,143,483,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5408,1954-09-05,31SB,82,47,34.23692,-120.0086,132,482,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5408,1954-09-05,31SB,83,40,34.29705,-119.40453,19,102,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5408,1954-09-05,31SB,83,43,34.19705,-119.61309,132,489,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5408,1954-09-05,31SB,83,48,34.03039,-119.96015,97,369,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5408,1954-09-05,31SB,83,51,33.93039,-120.16805,129,564,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5408,1954-09-05,31SB,83,55,33.79705,-120.44487,151,453,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5408,1954-09-05,31SB,83,60,33.63039,-120.79028,147,463,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5408,1954-09-06,31SB,85,39,33.98398,-119.10229,140,514,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5408,1954-09-06,31SB,85,40,33.95064,-119.17158,109,668,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5408,1954-09-06,31SB,85,45,33.78398,-119.51762,128,531,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5408,1954-09-06,31SB,85,55,33.45064,-120.20767,136,513,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5408,1954-09-05,31SB,85,60,33.28398,-120.55169,147,461,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,1
MJ,5408,1954-09-06,31SB,87,35,33.7709,-118.59418,137,477,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
MJ,5408,1954-09-06,31SB,87,40,33.60423,-118.93949,144,466,100,"No Adjustment",0,0,0,0,0,0,0,0,0,0,0,0,2
